X,Y,OBJECTID,NoticeNum,DateNotice,DateCancel,DateAbate,NT,OWNER_ABBR,HousingMarketTypology2023,Council_District,Neighborhood,BLOCKLOT,Address
1413895.79164647,589092.603234306,735,1433637A,2016/08/17 18:13:00+00,,,Vacant,,J,9,Mount Clare,0279 083,335 S PARRISH ST
1410833.61535613,588636.875471234,739,94955A,2005/10/31 14:45:00+00,,,Vacant,,J,9,Carrollton Ridge,0288 054,420 FURROW ST
1410834.20524997,588624.095313057,740,1869858A,2020/01/02 16:14:00+00,,,Vacant,,J,9,Carrollton Ridge,0288 055,422 FURROW ST
1413785.54055464,589123.816754565,742,2342318A,2024/01/24 13:48:00+00,,,Vacant,,J,9,Mount Clare,0279 087,324 S PARRISH ST
1413784.12290655,589135.708791137,743,374442A,2008/11/06 16:56:00+00,,,Vacant,,J,9,Mount Clare,0279 088,322 S PARRISH ST
1413783.88307764,589147.921693221,744,2342353A,2024/01/25 07:46:00+00,,,Vacant,,J,9,Mount Clare,0279 089,320 S PARRISH ST
1413782.2459418,589185.018403813,747,295116A,2008/03/05 17:30:00+00,,,Vacant,,J,9,Mount Clare,0279 092,314 S PARRISH ST
1413781.46543156,589197.187670812,748,1329079A,2015/12/10 15:50:00+00,,,Vacant,,J,9,Mount Clare,0279 093,312 S PARRISH ST
1413781.01333272,589208.954379559,749,556559A,2010/04/14 14:49:00+00,,,Vacant,MCC,J,9,Mount Clare,0279 094,310 S PARRISH ST
1413779.99725863,589221.005536556,750,187067A,2007/03/15 16:19:00+00,,,Vacant,,J,9,Mount Clare,0279 095,308 S PARRISH ST
1414362.20508373,589312.007979229,761,2492622A,2025/04/07 12:55:00+00,,,Vacant,,J,9,Mount Clare,0280 005,308 S CALHOUN ST
1414363.19556731,589299.034908056,762,1694476A,2018/07/12 13:04:00+00,,,Vacant,,J,9,Mount Clare,0280 006,310 S CALHOUN ST
1414364.58762489,589260.103883564,765,811678A,2012/02/26 11:26:00+00,,,Vacant,,J,9,Mount Clare,0280 009,316 S CALHOUN ST
1414365.54726864,589247.128843889,766,237620A,2007/08/24 16:34:00+00,,,Vacant,,J,9,Mount Clare,0280 010,318 S CALHOUN ST
1414366.88355206,589220.864460722,768,1523560A,2017/04/28 15:50:00+00,,,Vacant,,J,9,Mount Clare,0280 012,322 S CALHOUN ST
1414370.46851864,589141.730432644,774,2111562A,2022/05/22 10:34:00+00,,,Vacant,,J,9,Mount Clare,0280 018,334 S CALHOUN ST
1410835.36010331,588599.020231977,776,400367A,2009/01/06 12:58:00+00,,,Vacant,,J,9,Carrollton Ridge,0288 057,426 FURROW ST
1414379.72276522,589066.541934729,783,2499887A,2025/04/26 23:29:00+00,,,Vacant,,J,9,Mount Clare,0280 024,346 S CALHOUN ST
1414380.31233098,589054.321486726,784,2474160A,2025/01/27 08:14:00+00,,,Vacant,,J,9,Mount Clare,0280 025,348 S CALHOUN ST
1414339.76483989,589080.442825556,786,423946A,2009/04/21 09:26:00+00,,,Vacant,,J,9,Mount Clare,0280 027,1400 RAMSAY ST
1414315.14218572,589079.169534147,788,1417909A,2016/07/15 14:49:00+00,,,Vacant,,J,9,Mount Clare,0280 029,1404 RAMSAY ST
1414259.94446146,589076.589158729,792,1125427A,2014/08/01 16:38:00+00,,,Vacant,,J,9,Mount Clare,0280 033,1412 RAMSAY ST
1410837.68030864,588548.84513548,795,125017A,2006/03/17 16:03:00+00,,,Vacant,,J,9,Carrollton Ridge,0288 061,434 FURROW ST
1410838.26987439,588536.095160976,796,103052A,2005/12/06 10:35:00+00,,,Vacant,,J,9,Carrollton Ridge,0288 062,436 FURROW ST
1410838.86928263,588523.147680312,797,892021A,2012/09/28 13:24:00+00,,,Vacant,,J,9,Carrollton Ridge,0288 063,438 FURROW ST
1420586.39276655,586580.20996514,840,1361723A,2016/11/30 12:08:00+00,,,Vacant,,B,11,Sharp-Leadenhall,0947 006,127 W CROSS ST
1417632.38850397,587622.617657229,860,1596025A,2018/04/28 10:10:00+00,,,Vacant,,E,10,Washington Village/Pigtown,0938 015,769 W CROSS ST
1413578.33755697,588773.510368556,923,2297303A,2023/10/02 16:12:00+00,,,Vacant,,J,9,Mount Clare,0707 005,408 S GILMOR ST
1413580.90087205,588734.835249066,926,2321335A,2023/11/14 11:14:00+00,,,Vacant,,J,9,Mount Clare,0707 008,414 S GILMOR ST
1413582.10789064,588708.856626481,931,2308175A,2023/10/05 16:24:00+00,,,Vacant,,J,9,Mount Clare,0707 010,418 S GILMOR ST
1413333.21567188,588819.351484224,963,1687900A,2018/07/10 01:02:00+00,,,Vacant,,J,9,Mount Clare,0707 045,1643 WILKENS AVE
1413492.9906148,588825.03126289,993,2221622A,2023/03/23 10:22:00+00,,,Vacant,,J,9,Mount Clare,0707 067,401 S VINCENT ST
1413495.08280222,588788.126481056,996,2464172A,2024/12/23 07:30:00+00,,,Vacant,,J,9,Mount Clare,0707 070,407 S VINCENT ST
1413499.35575956,588691.770046473,1004,615305A,2010/08/25 12:18:00+00,,,Vacant,,J,9,Mount Clare,0707 078,423 S VINCENT ST
1413500.22518039,588679.627026141,1009,2463659A,2024/12/12 09:38:00+00,,,Vacant,,J,9,Mount Clare,0707 079,425 S VINCENT ST
1413984.71863396,588912.522229642,1017,2491657A,2025/04/02 12:29:00+00,,,Vacant,,J,9,Mount Clare,0708 003,1505 RAMSAY ST
1413900.62201738,588907.94251439,1024,2484115A,2025/03/09 23:06:00+00,,,Vacant,,J,9,Mount Clare,0708 010,1519 RAMSAY ST
1413773.81026314,588901.262081563,1035,2452408A,2024/10/29 06:58:00+00,,,Vacant,,J,9,Mount Clare,0708 017,1533 RAMSAY ST
1413762.29585047,588900.240430057,1036,2452449A,2024/10/29 06:58:00+00,,,Vacant,,J,9,Mount Clare,0708 018,1535 RAMSAY ST
1413750.3621473,588900.605258733,1037,2348694A,2024/02/28 15:22:00+00,,,Vacant,,J,9,Mount Clare,0708 019,1537 RAMSAY ST
1413737.97962613,588899.169894144,1038,2348693A,2024/03/01 13:49:00+00,,,Vacant,,J,9,Mount Clare,0708 020,1539 RAMSAY ST
1413727.23719355,588811.186802387,1050,2518191A,2025/06/01 18:05:00+00,,,Vacant,,J,9,Mount Clare,0708 028,407 S GILMOR ST
1426216.5222543,592290.962979317,1065,2031225A,2021/08/24 09:41:00+00,,,Vacant,,B,12,Washington Hill,1342 050,1430 E FAIRMOUNT AVE
1426620.53686622,592080.02770564,1161,2493442A,2025/04/08 17:09:00+00,,,Vacant,,B,12,Washington Hill,1345 011,1520 E BALTIMORE ST
1427059.81879605,592106.444647565,1298,2201981A,2023/02/01 20:57:00+00,,,Vacant,,B,12,Washington Hill,1347 016,1630 E BALTIMORE ST
1427173.53805681,592160.522295311,1310,2443823A,2024/10/02 10:58:00+00,,,Vacant,,B,12,Washington Hill,1347 025,4 N BROADWAY 
1425499.52401638,589821.653613478,1456,1748138A,2018/12/06 09:21:00+00,,,Vacant,,B,12,Little Italy,1431 013,1000 EASTERN AVE
1425843.84452197,590300.226147145,1477,2229262A,2023/04/12 14:00:00+00,,,Vacant,,E,12,Little Italy,1425 024,319 S CENTRAL AVE
1422402.46754648,598029.593234316,1538,2179969A,2022/11/02 09:21:00+00,,,Vacant,,B,12,Greenmount West,1110 032,342 E FEDERAL ST
1422619.6455898,598034.266125232,1587,2345540A,2024/02/13 16:31:00+00,,,Vacant,,B,12,Greenmount West,1111 008,414 E FEDERAL ST
1425082.79650338,598176.261576146,1602,519863A,2009/12/18 09:54:00+00,,,Vacant,,J,12,Oliver,1114 011,1220 E FEDERAL ST
1425122.75934997,598167.577538401,1619,231874A,2007/08/08 11:55:00+00,,,Vacant,,J,12,Oliver,1114 014,1226 E FEDERAL ST
1424901.72009389,598139.31676814,1620,2466193A,2024/12/17 10:16:00+00,,,Vacant,,J,12,Oliver,1114 015,1601 AISQUITH ST
1424898.59345973,598202.58042115,1639,2404841A,2024/07/05 12:35:00+00,,,Vacant,,J,12,Oliver,1114 019,1611 AISQUITH ST
1428171.92418338,599122.534289896,1656,2346666A,2024/02/14 09:51:00+00,,,Vacant,,J,12,Broadway East,1448 018,1934 E LAFAYETTE AVE
1428169.20240405,599177.580111563,1659,1433443A,2016/08/17 11:29:00+00,,,Vacant,,J,12,Broadway East,1448 021,1800 N WASHINGTON ST
1428165.3884353,599247.553396806,1664,2074300A,2022/01/20 14:59:00+00,,,Vacant,,J,12,Broadway East,1448 026,1810 N WASHINGTON ST
1428157.28182422,599406.028473556,1677,941519A,2013/03/22 12:34:00+00,,,Vacant,,J,12,Broadway East,1448 036,1830 N WASHINGTON ST
1428156.62467331,599419.714141726,1678,2346874A,2024/02/13 09:59:00+00,,,Vacant,,J,12,Broadway East,1448 037,1832 N WASHINGTON ST
1428155.9337298,599433.565820053,1679,1786245A,2019/05/04 15:48:00+00,,,Vacant,,J,12,Broadway East,1448 038,1834 N WASHINGTON ST
1428155.73852022,599447.360083804,1680,1986819A,2021/04/19 12:53:00+00,,,Vacant,,J,12,Broadway East,1448 039,1836 N WASHINGTON ST
1428125.82322572,599502.203478053,1688,2317970A,2023/11/02 10:51:00+00,,,Vacant,,J,12,Broadway East,1448 044,1931 E NORTH AVE
1428111.80520913,599501.486615971,1689,762813A,2011/09/22 14:55:00+00,,,Vacant,,J,12,Broadway East,1448 045,1929 E NORTH AVE
1428098.04572222,599500.774018973,1690,1976604A,2021/03/11 13:44:00+00,,,Vacant,,J,12,Broadway East,1448 046,1927 E NORTH AVE
1428084.22258714,599500.080122724,1691,727987A,2011/06/27 16:04:00+00,,,Vacant,,J,12,Broadway East,1448 047,1925 E NORTH AVE
1428021.82146522,599496.616218895,1694,188001A,2007/03/23 15:30:00+00,,,Vacant,,J,12,Broadway East,1448 050,1919 E NORTH AVE
1428008.97962739,599495.052245647,1695,1981316A,2021/03/27 01:24:00+00,,,Vacant,,J,12,Broadway East,1448 051,1917 E NORTH AVE
1427995.02722748,599494.269766897,1699,215856A,2007/06/29 15:21:00+00,,,Vacant,,J,12,Broadway East,1448 052,1915 E NORTH AVE
1427981.19851497,599493.46957165,1700,215797A,2007/06/27 10:24:00+00,,,Vacant,,J,12,Broadway East,1448 053,1913 E NORTH AVE
1427967.43738763,599492.706449807,1701,215804A,2007/06/26 16:15:00+00,,,Vacant,,J,12,Broadway East,1448 054,1911 E NORTH AVE
1427940.05030331,599491.15494372,1703,1200659A,2015/02/11 11:16:00+00,,,Vacant,,J,12,Broadway East,1448 056,1907 E NORTH AVE
1427926.32756172,599490.384275973,1704,2098350A,2022/04/25 12:56:00+00,,,Vacant,,J,12,Broadway East,1448 057,1905 E NORTH AVE
1427933.80294047,599351.709028393,1716,2317953A,2023/11/02 10:23:00+00,,,Vacant,,J,12,Broadway East,1448 066,1825 N WOLFE ST
1427937.9321973,599274.275128141,1720,451745A,2009/07/09 08:27:00+00,,,Vacant,,J,12,Broadway East,1448 070,1817 N WOLFE ST
1427941.02733546,599219.590526223,1727,2211802A,2023/03/03 06:58:00+00,,,Vacant,,J,12,Broadway East,1448 074,1809 N WOLFE ST
1428018.5816423,599167.950537637,1732,2317961A,2023/11/02 12:56:00+00,,,Vacant,,J,12,Broadway East,1448 079,1800 N CHAPEL ST
1428017.87331039,599180.925577313,1733,1991092A,2021/05/03 17:38:00+00,,,Vacant,,J,12,Broadway East,1448 080,1802 N CHAPEL ST
1428017.20631698,599193.426864639,1734,340485A,2008/07/22 17:53:00+00,,,Vacant,,J,12,Broadway East,1448 081,1804 N CHAPEL ST
1428016.54588522,599205.844490722,1735,2317960A,2023/11/02 12:59:00+00,,,Vacant,,J,12,Broadway East,1448 082,1806 N CHAPEL ST
1428011.8021283,599295.1678029,1745,2232648A,2023/04/20 09:08:00+00,,,Vacant,,J,12,Broadway East,1448 089,1820 N CHAPEL ST
1428009.20042747,599340.836346731,1747,2469020A,2025/01/07 10:24:00+00,,,Vacant,,J,12,Broadway East,1448 091,1824 N CHAPEL ST
1428008.61447063,599352.687044814,1748,2317955A,2023/11/02 12:59:00+00,,,Vacant,,J,12,Broadway East,1448 092,1826 N CHAPEL ST
1422561.10502447,598106.096034065,1751,2243959A,2023/05/16 12:12:00+00,,,Vacant,,B,12,Greenmount West,1111 059,407 PITMAN PL
1422522.85739756,598209.943923473,1755,2458520A,2024/11/19 10:37:00+00,,,Vacant,,B,12,Greenmount West,1111 063,400 PITMAN PL
1422569.20244922,598212.539718807,1758,1869268A,2019/12/30 13:38:00+00,,,Vacant,,B,12,Greenmount West,1111 067,408 PITMAN PL
1425036.63386606,598409.939914554,1780,2000855A,2021/05/28 13:34:00+00,,,Vacant,,J,12,Oliver,1114 033,1213 E LANVALE ST
1422889.43606073,598228.748019725,1788,2444785A,2024/10/04 03:56:00+00,,,Vacant,,B,12,Greenmount West,1111 091,456 PITMAN PL
1425135.50013813,598414.684655726,1814,2270435A,2023/07/12 20:34:00+00,,,Vacant,,J,12,Oliver,1114 040,1227 E LANVALE ST
1425149.61986056,598415.459916636,1815,1625644A,2017/12/28 15:04:00+00,,,Vacant,,J,12,Oliver,1114 041,1229 E LANVALE ST
1425018.29269539,598172.96171397,1871,194899A,2007/05/02 12:01:00+00,,,Vacant,,J,12,Oliver,1114 006,1210 E FEDERAL ST
1425030.83499314,598173.658891067,1872,232137A,2007/08/08 12:00:00+00,,,Vacant,,J,12,Oliver,1114 007,1212 E FEDERAL ST
1428007.93402581,599364.757558733,1875,900128A,2012/11/20 15:31:00+00,,,Vacant,,J,12,Broadway East,1448 093,1828 N CHAPEL ST
1428007.27359405,599376.540015474,1876,1991179A,2021/05/03 17:34:00+00,,,Vacant,,J,12,Broadway East,1448 094,1830 N CHAPEL ST
1428006.60102323,599388.340188727,1877,542149A,2010/03/03 16:19:00+00,,,Vacant,,J,12,Broadway East,1448 095,1832 N CHAPEL ST
1428005.91696948,599400.515033141,1881,2346665A,2024/02/14 09:51:00+00,,,Vacant,,J,12,Broadway East,1448 096,1834 N CHAPEL ST
1428003.89335147,599437.600260809,1884,305516A,2008/04/09 17:35:00+00,,,Vacant,,J,12,Broadway East,1448 099,1840 N CHAPEL ST
1428092.26390964,599224.46912539,1889,1200552A,2015/02/11 10:26:00+00,,,Vacant,,J,12,Broadway East,1448 104,1809 N CHAPEL ST
1428089.66089647,599275.535296232,1896,1127435A,2014/08/06 17:08:00+00,,,Vacant,,J,12,Broadway East,1448 108,1817 N CHAPEL ST
1428089.09462464,599287.982121721,1897,1128538A,2014/08/08 14:38:00+00,,,Vacant,,J,12,Broadway East,1448 109,1819 N CHAPEL ST
1428088.46962589,599300.547385305,1898,2416060A,2024/07/30 18:04:00+00,,,Vacant,,J,12,Broadway East,1448 110,1821 N CHAPEL ST
1428084.71996146,599369.191276893,1902,1199849A,2015/02/06 13:47:00+00,,,Vacant,,J,12,Broadway East,1448 114,1829 N CHAPEL ST
1428084.05067147,599381.293614894,1903,512163A,2009/11/13 16:15:00+00,,,Vacant,,J,12,Broadway East,1448 115,1831 N CHAPEL ST
1428082.9043483,599405.449406475,1905,788435A,2011/12/09 16:06:00+00,,,Vacant,,J,12,Broadway East,1448 117,1835 N CHAPEL ST
1428081.7724608,599429.353558138,1910,1437532A,2016/08/26 17:29:00+00,,,Vacant,,J,12,Broadway East,1448 119,1839 N CHAPEL ST
1428081.04903705,599442.623872817,1911,276600A,2007/12/11 08:44:00+00,,,Vacant,MCC,J,12,Broadway East,1448 120,1841 N CHAPEL ST
1428299.31894173,599129.902385399,1913,2078419A,2022/02/08 20:54:00+00,,,Vacant,,J,12,Broadway East,1449 002,2002 E LAFAYETTE AVE
1428337.26801281,599131.923050642,1916,221008A,2007/07/10 15:56:00+00,,,Vacant,,J,12,Broadway East,1449 005,2008 E LAFAYETTE AVE
1428349.94285622,599132.605135888,1917,2469019A,2025/01/06 09:33:00+00,,,Vacant,,J,12,Broadway East,1449 006,2010 E LAFAYETTE AVE
1428362.76632139,599133.323638394,1918,2371538A,2024/04/30 11:55:00+00,,,Vacant,,J,12,Broadway East,1449 007,2012 E LAFAYETTE AVE
1428375.74661039,599134.009988725,1919,2311832A,2023/10/15 19:50:00+00,,,Vacant,,J,12,Broadway East,1449 008,2014 E LAFAYETTE AVE
1428388.20196605,599134.68682465,1920,1037918A,2014/01/03 16:34:00+00,,,Vacant,,J,12,Broadway East,1449 009,2016 E LAFAYETTE AVE
1428426.12741514,599136.746859893,1926,2211674A,2023/03/03 07:21:00+00,,,Vacant,,J,12,Broadway East,1449 012,2022 E LAFAYETTE AVE
1428464.32058021,599138.816409558,1929,1293230A,2015/09/10 14:23:00+00,,,Vacant,,J,12,Broadway East,1449 015,2028 E LAFAYETTE AVE
1428477.42029156,599139.523101062,1930,548903A,2010/03/24 15:45:00+00,,,Vacant,,J,12,Broadway East,1449 016,2030 E LAFAYETTE AVE
1429608.11520864,596020.338722646,2009,2509682A,2025/05/28 13:45:00+00,,,Vacant,,J,13,Middle East,1570 044,1000 N PATTERSON PARK AVE
1429290.77955723,596245.669964895,2012,2331968A,2023/12/22 10:42:00+00,,,Vacant,,J,13,Middle East,1570 048,2204 PRENTISS PL
1429303.1499393,596246.330396637,2013,2319793A,2023/11/06 16:14:00+00,,,Vacant,,J,13,Middle East,1570 049,2206 PRENTISS PL
1429340.2069518,596248.32711181,2016,2064273A,2022/01/20 10:28:00+00,,,Vacant,,J,13,Middle East,1570 052,2212 PRENTISS PL
1429426.81996755,596252.964897811,2027,2096174A,2022/04/13 08:29:00+00,,,Vacant,,J,13,Middle East,1570 059,2226 PRENTISS PL
1429501.42546138,596256.961608976,2033,2319794A,2023/12/22 13:58:00+00,,,Vacant,,J,13,Middle East,1570 065,2238 PRENTISS PL
1429514.73744264,596257.661410734,2034,2319799A,2023/11/06 16:14:00+00,,,Vacant,,J,13,Middle East,1570 066,2240 PRENTISS PL
1429419.58277731,596147.055988893,2042,2477408A,2025/02/28 10:39:00+00,,,Vacant,,J,13,Middle East,1570 081,2225 PRENTISS PL
1429431.97153205,596147.723310396,2043,2185507A,2022/11/19 09:46:00+00,,,Vacant,,J,13,Middle East,1570 082,2227 PRENTISS PL
1429444.33010314,596148.392272308,2044,2310857A,2023/11/28 13:59:00+00,,,Vacant,,J,13,Middle East,1570 083,2229 PRENTISS PL
1429456.72771613,596149.051391721,2047,2310858A,2023/11/29 05:35:00+00,,,Vacant,,J,13,Middle East,1570 084,2231 PRENTISS PL
1429506.34703948,596151.720677733,2051,264241A,2008/04/09 15:03:00+00,,,Vacant,MCC,J,13,Middle East,1570 088,2239 PRENTISS PL
1430380.70421463,594955.553122565,2060,2509257A,2025/05/28 13:42:00+00,,,Vacant,,I,13,Milton-Montford,1624 077,725 N PORT ST
1430386.19173647,594845.852882639,2072,2450532A,2024/11/06 11:04:00+00,,,Vacant,,I,13,Milton-Montford,1624 086,707 N PORT ST
1417634.26710914,588441.032358974,2102,2324932A,2023/11/29 10:54:00+00,,,Vacant,,E,10,Washington Village/Pigtown,0857 048,828 WOODWARD ST
1417784.98728013,588136.682573974,2146,2198870A,2023/01/20 10:52:00+00,,,Vacant,,E,10,Washington Village/Pigtown,0858 034,752 W HAMBURG ST
1417621.5020428,588130.304962054,2160,2345750A,2024/02/08 08:08:00+00,,,Vacant,,E,10,Washington Village/Pigtown,0858 045,774 W HAMBURG ST
1429350.24728605,595179.115339473,2249,2185106A,2022/11/17 11:07:00+00,,,Vacant,,G,13,Middle East,1606 010,819 N COLLINGTON AVE
1405217.21221888,588950.874843225,2280,2209245A,2023/04/12 15:39:00+00,,,Vacant,,I,9,Carroll-South Hilton,2199D010,159 S HILTON ST
1429411.53620547,595091.247733057,2307,2005645A,2021/06/14 13:54:00+00,,,Vacant,,G,13,Middle East,1606 064,2212 E MADISON ST
